Инфотох;СОД
0;0
1230;1250
1000150;987615
4656750;4665340
15368440;15430230
17591540;17668190
17620440;17697205
19662310;19750130
27844580;27997375
39027550;39257280
46832680;47113885
48246860;48535940
48725140;49016785
48754500;49046250
53272620;53589465
56480240;56816925
58468870;58817225
61206450;61571960
64260150;64641300
64322380;64703855
65330750;65717645
65362560;65749590
67999030;68400910
71056620;71475415
75658070;76106785
84781720;85301235
90803600;91363160
96221920;96808285
100458380;101063570
102906710;103522125
107947430;108587090
111874630;112532755
113567330;114234095
120239200;120943590
123914360;124648350
126422510;127176450
128754910;129524215
130111900;130889155
